"AntennaAngle [deg]","Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
15,0.02,0,65,1.17522853427796
15,0.02,0,66,1.1445344071113
15,0.02,0,67,1.11326534026896
15,0.02,0,68,1.08152138778969
15,0.02,0,69,1.04940120280247
15,0.02,0,70,1.01700149041884
15,0.02,0,71,0.984416506482756
15,0.02,0,72,0.951737604849805
15,0.02,0,73,0.919052835142773
15,0.02,0,74,0.886446592219371
15,0.02,0,75,0.853999317898618
15,0.02,0,76,0.821787254833438
15,0.02,0,77,0.78988225179551
15,0.02,0,78,0.758351619060061
15,0.02,0,79,0.727258032048111
15,0.02,0,80,0.696659480905404
15,0.02,0,81,0.666609263273415
15,0.02,0,82,0.63715601714043
15,0.02,0,83,0.608343790350329
15,0.02,0,84,0.580212143093551
15,0.02,0,85,0.552796279508146
15,0.02,0,86,0.526127204377494
15,0.02,0,87,0.500231900823716
15,0.02,0,88,0.475133524859786
15,0.02,0,89,0.450851612676795
15,0.02,0,90,0.427402296603216
15,0.02,0,91,0.404798525777953
15,0.02,0,92,0.383050287725988
15,0.02,0,93,0.362164827212205
15,0.02,0,94,0.342146858973171
15,0.02,0,95,0.322998771186252
15,0.02,0,96,0.304720816828304
15,0.02,0,97,0.287311290400551
15,0.02,0,98,0.270766687850211
15,0.02,0,99,0.25508184790116
15,0.02,0,100,0.240250073413594
15,0.02,0,101,0.22626323182411
15,0.02,0,102,0.213111834170662
15,0.02,0,103,0.200785092678618
15,0.02,0,104,0.189270957371615
15,0.02,0,105,0.178556132670003
15,0.02,0,106,0.168626075446022
15,0.02,0,107,0.159464976512773
15,0.02,0,108,0.151055728027263
15,0.02,0,109,0.143379879778661
15,0.02,0,110,0.136417587802912
15,0.02,0,111,0.130147559204134
15,0.02,0,112,0.124546997461072
15,0.02,0,113,0.119591552841184
15,0.02,0,114,0.115255282823079
15,0.02,0,115,0.111510627626268
15,0.02,0,116,0.108328406051623
15,0.02,0,117,0.105677836832315
15,0.02,0,118,0.103526590569427
15,0.02,0,119,0.10184087706572
15,0.02,0,120,0.100585572463285
15,0.02,0,121,0.0997243900260797
15,0.02,0,122,0.099220097679173
15,0.02,0,123,0.0990347845188644
15,0.02,0,124,0.0991301774416214
15,0.02,0,125,0.0994680078096365
15,0.02,0,126,0.100010426686952
15,0.02,0,127,0.100720465658708
15,0.02,0,128,0.101562538609979
15,0.02,0,129,0.102502978119631
15,0.02,0,130,0.103510598355567
15,0.02,0,131,0.104557274584594
15,0.02,0,132,0.105618527683593
15,0.02,0,133,0.106674100415378
15,0.02,0,134,0.107708510774433
15,0.02,0,135,0.108711566479788
15,0.02,0,136,0.109678823762056
15,0.02,0,137,0.110611973025991
15,0.02,0,138,0.111519133833196
15,0.02,0,139,0.112415042000625
15,0.02,0,140,0.113321112499844
15,0.02,0,141,0.114265363308634
15,0.02,0,142,0.115282187434974
15,0.02,0,143,0.116411963010915
15,0.02,0,144,0.117700494627358
15,0.02,0,145,0.119198282915165
15,0.02,0,146,0.120959623714393
15,0.02,0,147,0.123041542928297
15,0.02,0,148,0.125502578224022
15,0.02,0,149,0.128401423986555
15,0.02,0,150,0.13179546120425
15,0.02,0,151,0.13573919909346
15,0.02,0,152,0.140282660074083
15,0.02,0,153,0.145469743997409
15,0.02,0,154,0.151336611112562
15,0.02,0,155,0.157910125954889
15,0.02,0,156,0.165206405980513
15,0.02,0,157,0.173229519210836
15,0.02,0,158,0.181970374274475
15,0.02,0,159,0.191405843965943
15,0.02,0,160,0.201498159748725
15,0.02,0,161,0.212194609533585
15,0.02,0,162,0.223427564631869
15,0.02,0,163,0.235114854143876
15,0.02,0,164,0.247160496372505
15,0.02,0,165,0.259455787381032
15,0.02,0,166,0.271880736813597
15,0.02,0,167,0.284305830876417
15,0.02,0,168,0.296594092271378
15,0.02,0,169,0.308603397229461
15,0.02,0,170,0.320189000958316
15,0.02,0,171,0.331206215131196
15,0.02,0,172,0.341513174810899
15,0.02,0,173,0.350973627688526
15,0.02,0,174,0.359459675935097
15,0.02,0,175,0.366854400462571
15,0.02,0,176,0.373054299045228
15,0.02,0,177,0.377971473560742
15,0.02,0,178,0.381535507490753
15,0.02,0,179,0.383694982613376
15,0.02,0,180,0.384418593291203
30,0.02,0,-180,0.299390997312772
30,0.02,0,-179,0.298598383011321
30,0.02,0,-178,0.296238668735128
30,0.02,0,-177,0.292358817153932
30,0.02,0,-176,0.287035608805497
30,0.02,0,-175,0.280373480365171
30,0.02,0,-174,0.272501603933947
30,0.02,0,-173,0.263570307645899
30,0.02,0,-172,0.253746959400143
30,0.02,0,-171,0.24321145213686
30,0.02,0,-170,0.232151440206258
30,0.02,0,-169,0.220757481680753
30,0.02,0,-168,0.209218240854215
30,0.02,0,-167,0.197715898838317
30,0.02,0,-166,0.186421908529638
30,0.02,0,-165,0.175493213923794
30,0.02,0,-164,0.165069033615177
30,0.02,0,-163,0.155268285297502
30,0.02,0,-162,0.14618770320994
30,0.02,0,-161,0.137900674826799
30,0.02,0,-160,0.130456797717487
30,0.02,0,-159,0.123882133393344
30,0.02,0,-158,0.118180112986978
30,0.02,0,-157,0.113333030514293
30,0.02,0,-156,0.109304043820042
30,0.02,0,-155,0.106039591493416
