"AntennaAngle [deg]","Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
30,0.02,0,122,0.28756051478581
30,0.02,0,123,0.275387665993364
30,0.02,0,124,0.26300967774441
30,0.02,0,125,0.250432103703513
30,0.02,0,126,0.23767630550088
30,0.02,0,127,0.2247800517049
30,0.02,0,128,0.211797757162046
30,0.02,0,129,0.198800318067809
30,0.02,0,130,0.18587450384654
30,0.02,0,131,0.173121874776715
30,0.02,0,132,0.160657204356636
30,0.02,0,133,0.148606397638515
30,0.02,0,134,0.137103911046638
30,0.02,0,135,0.126289695312286
30,0.02,0,136,0.116305700764564
30,0.02,0,137,0.107292002854251
30,0.02,0,138,0.099382624881756
30,0.02,0,139,0.0927011537647975
30,0.02,0,140,0.0873562625352246
30,0.02,0,141,0.0834372692418358
30,0.02,0,142,0.0810098751564663
30,0.02,0,143,0.0801122347246456
30,0.02,0,144,0.0807515146944463
30,0.02,0,145,0.0829010995043052
30,0.02,0,146,0.0864985936518866
30,0.02,0,147,0.0914447589250493
30,0.02,0,148,0.0976035048098068
30,0.02,0,149,0.10480302413351
30,0.02,0,150,0.11283813340149
30,0.02,0,151,0.121473839024758
30,0.02,0,152,0.130450107741132
30,0.02,0,153,0.139487773361495
30,0.02,0,154,0.148295464190184
30,0.02,0,155,0.156577387991
30,0.02,0,156,0.164041766300176
30,0.02,0,157,0.170409669423803
30,0.02,0,158,0.175423969792943
30,0.02,0,159,0.178858106559127
30,0.02,0,160,0.18052434023256
30,0.02,0,161,0.18028117427757
30,0.02,0,162,0.178039631903704
30,0.02,0,163,0.173768101291045
30,0.02,0,164,0.167495501004412
30,0.02,0,165,0.159312568558046
30,0.02,0,166,0.149371137493927
30,0.02,0,167,0.137881339795945
30,0.02,0,168,0.125106748270083
30,0.02,0,169,0.111357554502289
30,0.02,0,170,0.0969819586574985
30,0.02,0,171,0.0823560240384744
30,0.02,0,172,0.06787231833528
30,0.02,0,173,0.0539277214299681
30,0.02,0,174,0.0409108234422066
30,0.02,0,175,0.0291893639510867
30,0.02,0,176,0.0190981722726903
30,0.02,0,177,0.0109280584184149
30,0.02,0,178,0.0049160749230741
30,0.02,0,179,0.00123752206563679
30,0.02,0,180,4.96509117651539e-09
45,0.02,0,-180,8.39210527704138e-10
45,0.02,0,-179,0.00101154113795405
45,0.02,0,-178,0.00400739950644899
45,0.02,0,-177,0.00887852918026884
45,0.02,0,-176,0.0154481809162557
45,0.02,0,-175,0.0234791341662367
45,0.02,0,-174,0.0326833493518386
45,0.02,0,-173,0.0427335997880486
45,0.02,0,-172,0.0532765561205237
45,0.02,0,-171,0.0639467374689884
45,0.02,0,-170,0.0743807143940178
45,0.02,0,-169,0.0842309502278634
45,0.02,0,-168,0.093178698430886
45,0.02,0,-167,0.100945432042615
45,0.02,0,-166,0.107302363158049
45,0.02,0,-165,0.112077710692522
45,0.02,0,-164,0.11516148770016
45,0.02,0,-163,0.116507698929293
45,0.02,0,-162,0.116133958810311
