Phi[deg],Theta[deg],im(rEX)[mV]
-128,4,72.9518
-126,4,69.6424
-124,4,66.2493
-122,4,62.7768
-120,4,59.2291
-118,4,55.6105
-116,4,51.9254
-114,4,48.1784
-112,4,44.3739
-110,4,40.5165
-108,4,36.6109
-106,4,32.6617
-104,4,28.6738
-102,4,24.6518
-100,4,20.6005
-98,4,16.5249
-96,4,12.4296
-94,4,8.31974
-92,4,4.20002
-90,4,0.0754008
-88,4,-4.04924
-86,4,-8.16899
-84,4,-12.279
-82,4,-16.3743
-80,4,-20.4501
-78,4,-24.5015
-76,4,-28.5237
-74,4,-32.5118
-72,4,-36.4612
-70,4,-40.3671
-68,4,-44.2247
-66,4,-48.0295
-64,4,-51.7769
-62,4,-55.4623
-60,4,-59.0812
-58,4,-62.6293
-56,4,-66.1022
-54,4,-69.4956
-52,4,-72.8055
-50,4,-76.0277
-48,4,-79.1582
-46,4,-82.1931
-44,4,-85.1287
-42,4,-87.9613
-40,4,-90.6874
-38,4,-93.3035
-36,4,-95.8062
-34,4,-98.1926
-32,4,-100.459
-30,4,-102.604
-28,4,-104.623
-26,4,-106.515
-24,4,-108.276
-22,4,-109.906
-20,4,-111.4
-18,4,-112.758
-16,4,-113.978
-14,4,-115.059
-12,4,-115.998
-10,4,-116.794
-8,4,-117.447
-6,4,-117.956
-4,4,-118.32
-2,4,-118.538
0,4,-118.611
2,4,-118.538
4,4,-118.319
6,4,-117.955
8,4,-117.445
10,4,-116.792
12,4,-115.995
14,4,-115.055
16,4,-113.975
18,4,-112.755
20,4,-111.396
22,4,-109.901
24,4,-108.272
26,4,-106.51
28,4,-104.618
30,4,-102.598
32,4,-100.454
34,4,-98.1868
36,4,-95.8003
38,4,-93.2975
40,4,-90.6813
42,4,-87.9553
44,4,-85.1227
46,4,-82.1871
48,4,-79.1523
50,4,-76.0219
52,4,-72.7999
54,4,-69.4902
56,4,-66.097
58,4,-62.6243
60,4,-59.0766
62,4,-55.4579
64,4,-51.7729
66,4,-48.0259
68,4,-44.2215
70,4,-40.3643
72,4,-36.4589
74,4,-32.51
76,4,-28.5223
78,4,-24.5006
80,4,-20.4497
82,4,-16.3744
84,4,-12.2796
86,4,-8.17019
88,4,-4.05097
90,4,0.0731363
92,4,4.19723
94,4,8.31642
96,4,12.4258
98,4,16.5205
100,4,20.5957
102,4,24.6464
104,4,28.668
106,4,32.6555
108,4,36.6042
110,4,40.5095
112,4,44.3665
114,4,48.1706
116,4,51.9174
118,4,55.6021
120,4,59.2205
122,4,62.768
124,4,66.2403
126,4,69.6333
128,4,72.9426
130,4,76.1643
132,4,79.2944
134,4,82.3289
136,4,85.2642
138,4,88.0965
140,4,90.8222
142,4,93.438
144,4,95.9406
146,4,98.3268
148,4,100.594
150,4,102.738
152,4,104.757
154,4,106.649
156,4,108.41
158,4,110.04
160,4,111.534
162,4,112.893
164,4,114.113
166,4,115.194
168,4,116.133
170,4,116.93
172,4,117.583
174,4,118.093
176,4,118.457
178,4,118.676
180,4,118.749
-180,6,176.459
-178,6,176.35
-176,6,176.023
-174,6,175.477
-172,6,174.713
-170,6,173.733
-168,6,172.538
-166,6,171.129
-164,6,169.509
-162,6,167.68
-160,6,165.644
-158,6,163.404
-156,6,160.964
-154,6,158.326
-152,6,155.495
-150,6,152.474
-148,6,149.267
-146,6,145.879
-144,6,142.313
-142,6,138.576
-140,6,134.672
-138,6,130.606
-136,6,126.383
-134,6,122.008
-132,6,117.489
-130,6,112.829
-128,6,108.035
-126,6,103.114
-124,6,98.0713
-122,6,92.9129
-120,6,87.6454
-118,6,82.2753
-116,6,76.8092
-114,6,71.2535
-112,6,65.615
-110,6,59.9003
-108,6,54.1163
-106,6,48.2698
-104,6,42.3675
-102,6,36.4165
-100,6,30.4236
-98,6,24.3957
-96,6,18.3399
-94,6,12.263
-92,6,6.17214
-90,6,0.0742297
-88,6,-6.02371
-86,6,-12.1147
-84,6,-18.1917
-82,6,-24.2478
-80,6,-30.2759
-78,6,-36.2691
-76,6,-42.2206
-74,6,-48.1232
-72,6,-53.9703
-70,6,-59.7548
-68,6,-65.4701
-66,6,-71.1092
-64,6,-76.6656
-62,6,-82.1325
-60,6,-87.5033
-58,6,-92.7716
-56,6,-97.9308
-54,6,-102.975
-52,6,-107.897
-50,6,-112.691
-48,6,-117.352
-46,6,-121.872
-44,6,-126.247
-42,6,-130.471
-40,6,-134.539
-38,6,-138.444
-36,6,-142.182
-34,6,-145.748
-32,6,-149.137
-30,6,-152.345
-28,6,-155.367
-26,6,-158.199
-24,6,-160.837
-22,6,-163.278
-20,6,-165.519
-18,6,-167.555
-16,6,-169.385
-14,6,-171.005
-12,6,-172.415
-10,6,-173.61
-8,6,-174.591
-6,6,-175.354
-4,6,-175.901
-2,6,-176.229
0,6,-176.338
2,6,-176.228
4,6,-175.899
6,6,-175.351
8,6,-174.586
10,6,-173.605
12,6,-172.408
14,6,-170.998
16,6,-169.377
18,6,-167.546
20,6,-165.509
22,6,-163.268
24,6,-160.826
26,6,-158.187
28,6,-155.354
30,6,-152.332
32,6,-149.124
34,6,-145.734
36,6,-142.168
38,6,-138.429
40,6,-134.524
42,6,-130.457
44,6,-126.233
46,6,-121.858
48,6,-117.337
50,6,-112.677
52,6,-107.883
54,6,-102.961
56,6,-97.9178
58,6,-92.7591
60,6,-87.4915
62,6,-82.1214
64,6,-76.6552
66,6,-71.0997
68,6,-65.4614
70,6,-59.7471
72,6,-53.9635
74,6,-48.1175
76,6,-42.2159
78,6,-36.2656
80,6,-30.2734
82,6,-24.2464
84,6,-18.1916
86,6,-12.1157
88,6,-6.02594
90,6,0.0708145
92,6,6.16754
94,6,12.2572
96,6,18.3329
98,6,24.3877
100,6,30.4144
102,6,36.4062
104,6,42.3562
106,6,48.2575
108,6,54.1031
110,6,59.8862
112,6,65.6
114,6,71.2377
116,6,76.7927
118,6,82.2582
120,6,87.6277
122,6,92.8947
124,6,98.0526
126,6,103.095
128,6,108.016
130,6,112.81
132,6,117.469
134,6,121.989
136,6,126.363
138,6,130.586
140,6,134.653
142,6,138.558
144,6,142.295
146,6,145.861
148,6,149.25
150,6,152.457
152,6,155.479
154,6,158.311
156,6,160.95
158,6,163.391
160,6,165.632
162,6,167.669
164,6,169.499
166,6,171.12
168,6,172.53
170,6,173.726
172,6,174.708
174,6,175.473
176,6,176.02
178,6,176.349
180,6,176.459
-180,8,232.262
-178,8,232.117
-176,8,231.68
