Phi[deg],Theta[deg],re(rEX)[mV]
-100,4,-4.82256
-98,4,-3.89481
-96,4,-2.94814
-94,4,-1.98719
-92,4,-1.01669
-90,4,-0.0413926
-88,4,0.933902
-86,4,1.90441
-84,4,2.86536
-82,4,3.81205
-80,4,4.73982
-78,4,5.64411
-76,4,6.52048
-74,4,7.36464
-72,4,8.17242
-70,4,8.93986
-68,4,9.66318
-66,4,10.3388
-64,4,10.9635
-62,4,11.5341
-60,4,12.0477
-58,4,12.502
-56,4,12.8946
-54,4,13.2236
-52,4,13.4873
-50,4,13.6845
-48,4,13.8141
-46,4,13.8755
-44,4,13.8684
-42,4,13.7928
-40,4,13.6489
-38,4,13.4376
-36,4,13.1597
-34,4,12.8167
-32,4,12.4102
-30,4,11.9421
-28,4,11.4147
-26,4,10.8306
-24,4,10.1925
-22,4,9.50361
-20,4,8.76724
-18,4,7.98696
-16,4,7.16656
-14,4,6.31003
-12,4,5.42153
-10,4,4.50538
-8,4,3.56603
-6,4,2.60807
-4,4,1.63614
-2,4,0.65499
0,4,-0.33061
2,4,-1.31586
4,4,-2.29595
6,4,-3.26611
8,4,-4.22161
10,4,-5.15779
12,4,-6.07008
14,4,-6.95403
16,4,-7.80532
18,4,-8.61981
20,4,-9.3935
22,4,-10.1226
24,4,-10.8036
26,4,-11.4331
28,4,-12.0081
30,4,-12.5256
32,4,-12.9833
34,4,-13.3788
36,4,-13.7102
38,4,-13.9759
40,4,-14.1745
42,4,-14.3051
44,4,-14.3669
46,4,-14.3597
48,4,-14.2835
50,4,-14.1386
52,4,-13.9257
54,4,-13.6458
56,4,-13.3003
58,4,-12.8907
60,4,-12.4191
62,4,-11.8877
64,4,-11.2991
66,4,-10.6561
68,4,-9.96181
70,4,-9.21958
72,4,-8.433
74,4,-7.60586
76,4,-6.74215
78,4,-5.84605
80,4,-4.92188
82,4,-3.97411
84,4,-3.00733
86,4,-2.0262
88,4,-1.03547
90,4,-0.0399206
92,4,0.955624
94,4,1.94636
96,4,2.92749
98,4,3.89427
100,4,4.84203
102,4,5.7662
104,4,6.6623
106,4,7.52601
108,4,8.35315
110,4,9.13972
112,4,9.88194
114,4,10.5762
116,4,11.2192
118,4,11.8078
120,4,12.3392
122,4,12.8108
124,4,13.2204
126,4,13.5659
128,4,13.8458
130,4,14.0587
132,4,14.2036
134,4,14.2798
136,4,14.2869
138,4,14.2251
140,4,14.0945
142,4,13.8959
144,4,13.6302
146,4,13.2987
148,4,12.9032
150,4,12.4455
152,4,11.9279
154,4,11.3529
156,4,10.7234
158,4,10.0424
160,4,9.3132
162,4,8.53947
164,4,7.72495
166,4,6.87361
168,4,5.98962
170,4,5.07729
172,4,4.14106
174,4,3.18552
176,4,2.21531
178,4,1.23516
180,4,0.249865
-180,6,0.393943
-178,6,-1.81404
-176,6,-4.0118
-174,6,-6.18862
-172,6,-8.33392
-170,6,-10.4372
-168,6,-12.4883
-166,6,-14.4772
-164,6,-16.3942
-162,6,-18.2301
-160,6,-19.9757
-158,6,-21.6228
-156,6,-23.1632
-154,6,-24.5896
-152,6,-25.8949
-150,6,-27.0728
-148,6,-28.1177
-146,6,-29.0244
-144,6,-29.7886
-142,6,-30.4066
-140,6,-30.8753
-138,6,-31.1927
-136,6,-31.3571
-134,6,-31.3678
-132,6,-31.2247
-130,6,-30.9287
-128,6,-30.4812
-126,6,-29.8844
-124,6,-29.1413
-122,6,-28.2555
-120,6,-27.2314
-118,6,-26.0741
-116,6,-24.7892
-114,6,-23.3831
-112,6,-21.8626
-110,6,-20.2352
-108,6,-18.5089
-106,6,-16.6921
-104,6,-14.7938
-102,6,-12.8232
-100,6,-10.79
-98,6,-8.70421
-96,6,-6.57599
-94,6,-4.41576
-92,6,-2.23411
-90,6,-0.0417258
-88,6,2.15066
-86,6,4.33232
-84,6,6.49256
-82,6,8.62081
-80,6,10.7066
-78,6,12.7398
-76,6,14.7104
-74,6,16.6088
-72,6,18.4256
-70,6,20.152
-68,6,21.7794
-66,6,23.3
-64,6,24.7062
-62,6,25.9912
-60,6,27.1486
-58,6,28.1727
-56,6,29.0586
-54,6,29.8018
-52,6,30.3986
-50,6,30.8463
-48,6,31.1424
-46,6,31.2855
-44,6,31.2749
-42,6,31.1106
-40,6,30.7934
-38,6,30.3247
-36,6,29.7068
-34,6,28.9427
-32,6,28.0361
-30,6,26.9914
-28,6,25.8136
-26,6,24.5084
-24,6,23.0821
-22,6,21.5418
-20,6,19.8948
-18,6,18.1493
-16,6,16.3135
-14,6,14.3966
-12,6,12.4078
-10,6,10.3568
-8,6,8.25359
-6,6,6.10839
-4,6,3.93165
-2,6,1.73398
0,6,-0.473925
2,6,-2.6813
4,6,-4.87739
6,6,-7.05149
8,6,-9.19301
10,6,-11.2915
12,6,-13.3367
14,6,-15.3187
16,6,-17.2278
18,6,-19.0547
20,6,-20.7904
22,6,-22.4265
24,6,-23.9551
26,6,-25.3685
28,6,-26.66
30,6,-27.8231
32,6,-28.8523
34,6,-29.7425
36,6,-30.4892
38,6,-31.0889
40,6,-31.5385
42,6,-31.8359
44,6,-31.9796
46,6,-31.9688
48,6,-31.8035
50,6,-31.4846
52,6,-31.0135
54,6,-30.3925
56,6,-29.6245
58,6,-28.7133
60,6,-27.6632
62,6,-26.4794
64,6,-25.1675
66,6,-23.7338
68,6,-22.1854
70,6,-20.5297
72,6,-18.7748
74,6,-16.929
76,6,-15.0014
78,6,-13.0014
80,6,-10.9385
82,6,-8.82274
84,6,-6.66445
86,6,-4.47406
88,6,-2.26218
90,6,-0.0395294
92,6,2.18312
94,6,4.39501
96,6,6.5854
98,6,8.74368
100,6,10.8594
102,6,12.9223
104,6,14.9224
106,6,16.85
108,6,18.6957
110,6,20.4507
112,6,22.1064
114,6,23.6548
116,6,25.0884
118,6,26.4003
120,6,27.5842
122,6,28.6343
124,6,29.5455
126,6,30.3135
128,6,30.9345
130,6,31.4056
132,6,31.7245
134,6,31.8898
136,6,31.9006
138,6,31.7569
140,6,31.4595
142,6,31.0098
144,6,30.4101
146,6,29.6633
148,6,28.7732
150,6,27.744
152,6,26.5808
154,6,25.2893
156,6,23.8758
158,6,22.3472
160,6,20.7111
162,6,18.9753
164,6,17.1484
166,6,15.2392
168,6,13.2572
170,6,11.2119
172,6,9.11332
174,6,6.97174
176,6,4.79756
178,6,2.6014
180,6,0.393943
-180,8,0.536443
-178,8,-3.36506
-176,8,-7.24826
-174,8,-11.0942
-172,8,-14.8843
-170,8,-18.5999
-168,8,-22.223
-166,8,-25.7359
-164,8,-29.1216
-162,8,-32.3636
-160,8,-35.4461
-158,8,-38.3541
-156,8,-41.0734
-154,8,-43.5909
-152,8,-45.8944
-150,8,-47.9725
-148,8,-49.8153
-146,8,-51.4137
-144,8,-52.7601
-142,8,-53.848
-140,8,-54.672
-138,8,-55.2283
-136,8,-55.5141
-134,8,-55.5281
-132,8,-55.2704
-130,8,-54.7421
-128,8,-53.946
-126,8,-52.8861
-124,8,-51.5674
-122,8,-49.9965
-120,8,-48.1812
-118,8,-46.1303
-116,8,-43.8539
-114,8,-41.3632
-112,8,-38.6703
-110,8,-35.7884
-108,8,-32.7317
-106,8,-29.5151
-104,8,-26.1544
-102,8,-22.666
-100,8,-19.0669
-98,8,-15.3748
-96,8,-11.6077
-94,8,-7.78404
-92,8,-3.92253
-90,8,-0.0420387
-88,8,3.83846
-86,8,7.69998
-84,8,11.5237
-82,8,15.2908
-80,8,18.9829
-78,8,22.5821
-76,8,26.0705
-74,8,29.4313
-72,8,32.648
-70,8,35.7048
-68,8,38.5867
-66,8,41.2797
-64,8,43.7705
-62,8,46.047
-60,8,48.098
-58,8,49.9135
-56,8,51.4845
-54,8,52.8032
-52,8,53.8634
-50,8,54.6596
-48,8,55.188
-46,8,55.4459
-44,8,55.432
-42,8,55.1463
-40,8,54.5902
-38,8,53.7663
-36,8,52.6786
-34,8,51.3324
-32,8,49.7341
-30,8,47.8915
-28,8,45.8135
-26,8,43.5102
-24,8,40.9929
-22,8,38.2737
-20,8,35.3658
-18,8,32.2835
-16,8,29.0417
-14,8,25.6561
-12,8,22.1433
-10,8,18.5203
-8,8,14.8049
-6,8,11.015
-4,8,7.1691
-2,8,3.28602
0,8,-0.615364
2,8,-4.51605
4,8,-8.39703
6,8,-12.2394
8,8,-16.0244
10,8,-19.7336
12,8,-23.3489
14,8,-26.8527
16,8,-30.2278
18,8,-33.4579
20,8,-36.5272
22,8,-39.4207
24,8,-42.1242
26,8,-44.6246
28,8,-46.9096
30,8,-48.9681
32,8,-50.7901
34,8,-52.3665
36,8,-53.6898
38,8,-54.7533
40,8,-55.5519
42,8,-56.0817
44,8,-56.34
46,8,-56.3255
48,8,-56.0383
50,8,-55.4796
52,8,-54.6523
54,8,-53.5601
56,8,-52.2084
58,8,-50.6038
60,8,-48.754
62,8,-46.6679
64,8,-44.3557
66,8,-41.8285
68,8,-39.0986
70,8,-36.1792
72,8,-33.0845
74,8,-29.8295
76,8,-26.4299
78,8,-22.9023
80,8,-19.2638
82,8,-15.532
84,8,-11.7251
86,8,-7.86139
88,8,-3.95977
90,8,-0.0391319
92,8,3.88151
94,8,7.78313
96,8,11.6468
98,8,15.4538
100,8,19.1856
102,8,22.8241
104,8,26.3517
106,8,29.7513
108,8,33.0063
110,8,36.101
112,8,39.0204
114,8,41.7504
116,8,44.2776
118,8,46.5899
120,8,48.676
122,8,50.5258
124,8,52.1305
126,8,53.4821
128,8,54.5743
130,8,55.4017
132,8,55.9604
134,8,56.2476
136,8,56.2621
138,8,56.0038
140,8,55.474
142,8,54.6754
144,8,53.6119
146,8,52.2886
148,8,50.7121
150,8,48.8902
152,8,46.8316
154,8,44.5466
156,8,42.0462
158,8,39.3426
160,8,36.4491
162,8,33.3798
164,8,30.1496
166,8,26.7744
168,8,23.2705
170,8,19.6551
172,8,15.9459
174,8,12.1608
176,8,8.31832
178,8,4.43724
180,8,0.536443
-180,10,0.676752
-178,10,-5.37215
-176,10,-11.3925
-174,10,-17.3548
-172,10,-23.2302
-170,10,-28.99
-168,10,-34.6062
-166,10,-40.0514
-164,10,-45.299
-162,10,-50.3236
-160,10,-55.1006
-158,10,-59.6069
-156,10,-63.8205
-154,10,-67.721
-152,10,-71.2892
-150,10,-74.508
-148,10,-77.3617
-146,10,-79.8364
-144,10,-81.9201
-142,10,-83.6027
-140,10,-84.8762
-138,10,-85.7342
-136,10,-86.1729
-134,10,-86.19
-132,10,-85.7855
-130,10,-84.9616
-128,10,-83.7223
-126,10,-82.0737
-124,10,-80.024
-122,10,-77.5831
-120,10,-74.7632
-118,10,-71.5779
-116,10,-68.043
-114,10,-64.1757
-112,10,-59.995
-110,10,-55.5213
-108,10,-50.7765
-106,10,-45.7837
-104,10,-40.5675
-102,10,-35.1532
-100,10,-29.5674
-98,10,-23.8374
-96,10,-17.9911
-94,10,-12.0571
-92,10,-6.06443
-90,10,-0.0423272
-88,10,5.97978
-86,10,11.9725
-84,10,17.9065
-82,10,23.7528
-80,10,29.4829
-78,10,35.0688
-76,10,40.4831
-74,10,45.6994
-72,10,50.6923
-70,10,55.4372
-68,10,59.911
-66,10,64.0919
-64,10,67.9593
-62,10,71.4944
-60,10,74.6798
