Phi[deg],Theta[deg],im(rEY)[mV]
-28,6,139.89
-26,6,130.686
-24,6,121.322
-22,6,111.808
-20,6,102.158
-18,6,92.3817
-16,6,82.4923
-14,6,72.5018
-12,6,62.4224
-10,6,52.2667
-8,6,42.0473
-6,6,31.7767
-4,6,21.4677
-2,6,11.1331
0,6,0.785703
2,6,-9.56166
4,6,-19.8961
6,6,-30.2049
8,6,-40.4753
10,6,-50.6944
12,6,-60.8497
14,6,-70.9285
16,6,-80.9185
18,6,-90.8073
20,6,-100.583
22,6,-110.233
24,6,-119.745
26,6,-129.109
28,6,-138.312
30,6,-147.344
32,6,-156.192
34,6,-164.848
36,6,-173.299
38,6,-181.536
40,6,-189.549
42,6,-197.328
44,6,-204.864
46,6,-212.147
48,6,-219.17
50,6,-225.923
52,6,-232.399
54,6,-238.59
56,6,-244.488
58,6,-250.087
60,6,-255.38
62,6,-260.361
64,6,-265.024
66,6,-269.364
68,6,-273.375
70,6,-277.053
72,6,-280.394
74,6,-283.393
76,6,-286.048
78,6,-288.355
80,6,-290.311
82,6,-291.915
84,6,-293.164
86,6,-294.057
88,6,-294.593
90,6,-294.771
92,6,-294.592
94,6,-294.055
96,6,-293.161
98,6,-291.911
100,6,-290.306
102,6,-288.349
104,6,-286.042
106,6,-283.386
108,6,-280.386
110,6,-277.045
112,6,-273.366
114,6,-269.354
116,6,-265.014
118,6,-260.35
120,6,-255.369
122,6,-250.075
124,6,-244.475
126,6,-238.577
128,6,-232.385
130,6,-225.909
132,6,-219.156
134,6,-212.133
136,6,-204.85
138,6,-197.314
140,6,-189.535
142,6,-181.522
144,6,-173.285
146,6,-164.834
148,6,-156.179
150,6,-147.331
152,6,-138.3
154,6,-129.097
156,6,-119.734
158,6,-110.222
160,6,-100.573
162,6,-90.7981
164,6,-80.91
166,6,-70.9207
168,6,-60.8426
170,6,-50.6881
172,6,-40.4698
174,6,-30.2003
176,6,-19.8923
178,6,-9.55868
180,6,0.78783
-180,8,0.791725
-178,8,14.4554
-176,8,28.102
-174,8,41.7144
-172,8,55.2754
-170,8,68.768
-168,8,82.1753
-166,8,95.4806
-164,8,108.667
-162,8,121.719
-160,8,134.619
-158,8,147.351
-156,8,159.901
-154,8,172.251
-152,8,184.388
-150,8,196.296
-148,8,207.961
-146,8,219.369
-144,8,230.505
-142,8,241.356
-140,8,251.909
-138,8,262.152
-136,8,272.072
-134,8,281.658
-132,8,290.898
-130,8,299.781
