Phi[deg],Theta[deg],im(rEX)[mV]
104,4,-438.222
106,4,-432.304
108,4,-426.43
110,4,-420.611
112,4,-414.855
114,4,-409.172
116,4,-403.571
118,4,-398.06
120,4,-392.648
122,4,-387.345
124,4,-382.158
126,4,-377.095
128,4,-372.166
130,4,-367.377
132,4,-362.736
134,4,-358.25
136,4,-353.927
138,4,-349.773
140,4,-345.795
142,4,-341.998
144,4,-338.389
146,4,-334.973
148,4,-331.754
150,4,-328.739
152,4,-325.93
154,4,-323.331
156,4,-320.947
158,4,-318.78
160,4,-316.833
162,4,-315.108
164,4,-313.607
166,4,-312.331
168,4,-311.282
170,4,-310.459
172,4,-309.863
174,4,-309.495
176,4,-309.352
178,4,-309.434
180,4,-309.74
-180,6,-214.713
-178,6,-215.819
-176,6,-217.271
-174,6,-219.064
-172,6,-221.191
-170,6,-223.646
-168,6,-226.421
-166,6,-229.509
-164,6,-232.901
-162,6,-236.588
-160,6,-240.562
-158,6,-244.812
-156,6,-249.33
-154,6,-254.103
-152,6,-259.123
-150,6,-264.378
-148,6,-269.857
-146,6,-275.548
-144,6,-281.441
-142,6,-287.524
-140,6,-293.785
-138,6,-300.213
-136,6,-306.796
-134,6,-313.523
-132,6,-320.382
-130,6,-327.361
-128,6,-334.45
-126,6,-341.637
-124,6,-348.912
-122,6,-356.263
-120,6,-363.68
-118,6,-371.153
-116,6,-378.671
-114,6,-386.226
-112,6,-393.807
-110,6,-401.405
-108,6,-409.011
-106,6,-416.618
-104,6,-424.216
-102,6,-431.799
-100,6,-439.357
-98,6,-446.885
-96,6,-454.375
-94,6,-461.822
-92,6,-469.218
-90,6,-476.558
-88,6,-483.836
-86,6,-491.047
-84,6,-498.187
-82,6,-505.25
-80,6,-512.232
-78,6,-519.128
-76,6,-525.936
-74,6,-532.651
-72,6,-539.27
-70,6,-545.788
-68,6,-552.204
-66,6,-558.514
-64,6,-564.714
-62,6,-570.803
-60,6,-576.777
-58,6,-582.633
-56,6,-588.369
-54,6,-593.983
-52,6,-599.471
-50,6,-604.83
-48,6,-610.059
-46,6,-615.154
-44,6,-620.112
-42,6,-624.931
-40,6,-629.608
-38,6,-634.139
-36,6,-638.522
-34,6,-642.753
-32,6,-646.828
-30,6,-650.745
-28,6,-654.499
-26,6,-658.088
-24,6,-661.506
-22,6,-664.751
-20,6,-667.817
-18,6,-670.702
-16,6,-673.4
-14,6,-675.907
-12,6,-678.219
-10,6,-680.331
-8,6,-682.239
-6,6,-683.938
-4,6,-685.424
-2,6,-686.691
0,6,-687.736
2,6,-688.553
4,6,-689.139
6,6,-689.488
8,6,-689.597
